,SKU ID,Min Pd,Product ID,Zenni B2B,USD Price,Cad Price,Frame Type,Material,Frame Rim,Frame Shape,Frame Gender,SKU Color,SKU Display Color,Frame Width,Adult Frame Size,Kids Frame Size,Weight,Lens Width,Product Display Name,Is for Kids,Rush Processing Available,SKU Status,Product Type,Joint Max,Joint Min,Max Sph,Min Sph,Max Cyl,Min Cyl,Max Pd,Min Pd,Pd Reader,Temple Length,Bridge,Lens Height,Readers Available,Progressive Available,Image URL,Feature List,Product List,Friendly Name
11,102725,57,1027,,29.95,39.95,standardframetype,Acetate,FullRim,Cat-Eye,Women_s,Tortoiseshell,,120,Small,,15,52,Cat-Eye Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,69,57,60,144,14,41,0,1,https://static.zennioptical.com/production/products/general/10/27/102725-eyeglasses-front-view.jpg,ft06,"gt49,gt35,gt11,gt40,gt38,gt42,gt04,gt12,gt33,gt44",womens-full-rim-acetate-plastic-cat-eye-eyeglass-frames-102725
12,103021,56,1030,,23.95,31.95,standardframetype,Acetate,FullRim,Rectangle,Unisex,Black,,122,Small,,17,52,Rectangle Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,72,56,63,141,17,31,1,1,https://static.zennioptical.com/production/products/general/10/30/103021-eyeglasses-front-view.jpg,"ft01,ft06","gt31,gt33",unisex-fullrim-acetate-plastic-rectangle-eyeglass-frames-103021
13,103121,57,1031,,23.95,31.95,standardframetype,Acetate,FullRim,Rectangle,Unisex,Black,,125,Small,,18,52,Rectangle Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,57,65,140,19,33,1,1,https://static.zennioptical.com/production/products/general/10/31/103121-eyeglasses-front-view.jpg,"ft01,ft06","gt12,gt13,gt04,gt31,gt33,gt11,gt17",unisex-fullrim-acetate-plastic-rectangle-eyeglass-frames-103121
14,103125,57,1031,,23.95,31.95,standardframetype,Acetate,FullRim,Rectangle,Unisex,Tortoiseshell,,125,Small,,18,52,Rectangle Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,57,65,140,19,33,1,1,https://static.zennioptical.com/production/products/general/10/31/103125-eyeglasses-front-view.jpg,"ft01,ft06","gt12,gt13,gt04,gt31,gt33,gt11,gt17",unisex-fullrim-acetate-plastic-rectangle-eyeglass-frames-103125
15,10487217,52,104872,,25.95,34.95,standardframetype,Acetate,FullRim,Oval,Women_s,Purple,,123,Small,,20,50,Oval Glasses,0,0,non-retired,configurable prescription frame,8,-8,8,-8,6,-6,71,52,62,138,18,30,1,1,https://static.zennioptical.com/production/products/general/10/48/10487217-eyeglasses-front-view.jpg,ft02,"gt33,gt32,gt31,gt35,gt34,gt49",10487217-acetate-full-rim-frame
16,10488117,55,104881,,21.95,28.95,standardframetype,Acetate,FullRim,Oval,Women_s,Purple,,127,Med,,18,52,Oval Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,72,55,63,140,17,30,1,1,https://static.zennioptical.com/production/products/general/10/48/10488117-eyeglasses-front-view.jpg,,"gt35,gt33,gt34,gt49,gt32",10488117-acetate-full-rim-frame
17,106016,53,1060,,25.95,34.95,standardframetype,Acetate,FullRim,Square,Men_s,Blue,,124,Small,,19,51,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,71,53,62,138,17,36,1,1,https://static.zennioptical.com/production/products/general/10/60/106016-eyeglasses-front-view.jpg,"ft01,ft02,ft06","gt44,gt31,gt33,gt53,gt01",mens-fullrim-acetate-plastic-square-eyeglass-frames-106016
18,106021,53,1060,,25.95,34.95,standardframetype,Acetate,FullRim,Square,Men_s,Black,,124,Small,,19,51,Square Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,71,53,62,138,17,36,1,1,https://static.zennioptical.com/production/products/general/10/60/106021-eyeglasses-front-view.jpg,"ft01,ft02,ft06","gt44,gt31,gt33,gt53,gt01",mens-fullrim-acetate-plastic-square-eyeglass-frames-106021
19,106116,56,1061,,23.95,31.95,standardframetype,Acetate,FullRim,Oval,Women_s,Blue,,123,Small,,17,51,Oval Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,56,61,140,16,38,1,1,https://static.zennioptical.com/production/products/general/10/61/106116-eyeglasses-front-view.jpg,"ft01,ft02,ft06","gt49,gt01,gt34,gt32",womens-fullrim-acetate-plastic-oval-eyeglass-frames-106116
20,10619021,55,106190,,21.95,28.95,standardframetype,Acetate,FullRim,Square,Women_s,Black,,125,Small,,22,51,Square Glasses,0,0,non-retired,configurable prescription frame,8,-8,8,-8,6,-6,71,55,62,149,17,36,1,1,https://static.zennioptical.com/production/products/general/10/61/10619021-eyeglasses-front-view.jpg,ft02,"gt31,gt33,gt01",10619021-acetate-full-rim-frame
21,106215,53,1062,,25.95,34.95,standardframetype,Acetate,FullRim,Square,Unisex,Brown,Brown,122,Small,,16,49,Square Glasses ,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,53,61,141,18,37,1,1,https://static.zennioptical.com/production/products/general/10/62/106215-eyeglasses-front-view.jpg,"ft02,ft06,5900001","gt53,gt17,gt12,gt08,gt10,gt09,gt13,gt11,gt01",mens-acetate-square-eyeglass-frames-106215
,106223,53,1062,Yes,25.95,34.95,standardframetype,Acetate,FullRim,Square,Unisex,Clear,Mist,122,Small,,16,49,Square Glasses ,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,53,61,141,18,37,1,1,https://static.zennioptical.com/production/products/general/10/62/106223-eyeglasses-front-view.jpg,"ft02,ft06,5900001","gt53,gt17,gt12,gt08,gt10,gt09,gt13,gt11,gt01",mens-acetate-square-eyeglass-frames-106223
23,106225,53,1062,,25.95,34.95,standardframetype,Acetate,FullRim,Square,Unisex,Tortoiseshell,,122,Small,,16,49,Square Glasses ,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,53,61,141,18,37,1,1,https://static.zennioptical.com/production/products/general/10/62/106225-eyeglasses-front-view.jpg,"ft02,ft06,5900001","gt53,gt17,gt12,gt08,gt10,gt09,gt13,gt11,gt01",fullrim-acetate-plastic-square-eyeglass-frames-106225
24,106231,53,1062,,25.95,34.95,standardframetype,Acetate,FullRim,Square,Unisex,Gray,,122,Small,,16,49,Square Glasses ,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,53,61,141,18,37,1,1,https://static.zennioptical.com/production/products/general/10/62/106231-eyeglasses-front-view.jpg,"ft02,ft06,5900001","gt53,gt17,gt12,gt08,gt10,gt09,gt13,gt11,gt01",fullrim-acetate-plastic-square-eyeglass-frames-106231
25,106624,52,1066,,19.95,26.95,standardframetype,Acetate,FullRim,Rectangle,Women_s,Green,,123,Small,,17,50,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,52,61,136,17,34,1,1,https://static.zennioptical.com/production/products/general/10/66/106624-eyeglasses-front-view.jpg,"ft01,ft02,ft06","gt49,gt33,gt31",womens-fullrim-acetate-plastic-rectangle-eyeglass-frames-106624
26,107219,58,1072,,29.95,39.95,standardframetype,Acetate,FullRim,Square,Women_s,Pink,,130,Med,,31,52,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,73,58,64,150,18,40,1,1,https://static.zennioptical.com/production/products/general/10/72/107219-eyeglasses-front-view.jpg,"ft01,ft02,ft06","gt40,gt44,gt01,gt38",womens-full-rim-acetate-plastic-square-eyeglass-frames-107219
27,107221,58,1072,,29.95,39.95,standardframetype,Acetate,FullRim,Square,Women_s,Black,,130,Med,,31,52,Square Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,73,58,64,150,18,40,1,1,https://static.zennioptical.com/production/products/general/10/72/107221-eyeglasses-front-view.jpg,"ft01,ft02,ft06","gt40,gt44,gt01,gt38",womens-full-rim-acetate-plastic-square-eyeglass-frames-107221
28,107239,58,1072,,29.95,39.95,standardframetype,Acetate,FullRim,Square,Women_s,Pattern,Tortoiseshell,130,Med,,31,52,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,73,58,64,150,18,40,1,1,https://static.zennioptical.com/production/products/general/10/72/107239-eyeglasses-front-view.jpg,"ft01,ft02,ft06","gt40,gt44,gt01,gt38",womens-acetate-square-eyeglass-frames-107239
29,108617,55,1086,,23.95,31.95,standardframetype,Acetate,FullRim,Rectangle,Women_s,Purple,,122,Small,,18,52,Rectangle Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,72,55,63,137,17,30,1,1,https://static.zennioptical.com/production/products/general/10/86/108617-eyeglasses-front-view.jpg,"ft01,ft02,ft06,ft09","gt33,gt31,gt49",womens-fullrim-acetate-plastic-rectangle-eyeglass-frames-108617
30,109325,64,1093,,27.95,36.95,standardframetype,Acetate,FullRim,Square,Unisex,Tortoiseshell,,130,Med,,21,54,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,76,64,67,142,19,38,0,1,https://static.zennioptical.com/production/products/general/10/93/109325-eyeglasses-front-view.jpg,"ft01,ft02,ft06","gt33,gt31,gt01",unisex-fullrim-acetate-plastic-square-eyeglass-frames-109325
31,109824,52,1098,,27.95,36.95,standardframetype,Acetate,FullRim,Round,Unisex,Green,Green Tortoisehell,126,Med,,19,47,Round Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,72,52,63,140,22,40,1,1,https://static.zennioptical.com/production/products/general/10/98/109824-eyeglasses-front-view.jpg,"ft01,ft02,ft06,ft09","gt40,gt44,gt53,gt35,gt33,gt34,gt32,gt01,gt38",womens-acetate-round-eyeglass-frames-109824
,109825,52,1098,Yes,27.95,36.95,standardframetype,Acetate,FullRim,Round,Unisex,Tortoiseshell,,126,Med,,19,47,Round Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,72,52,63,140,22,40,1,1,https://static.zennioptical.com/production/products/general/10/98/109825-eyeglasses-front-view.jpg,"ft01,ft02,ft06,ft09","gt40,gt44,gt53,gt35,gt33,gt34,gt32,gt01,gt38",acetate-round-eyeglass-frames-109825
33,109831,52,1098,,27.95,36.95,standardframetype,Acetate,FullRim,Round,Unisex,Black,Granite,126,Med,,19,47,Round Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,72,52,63,140,22,40,1,1,https://static.zennioptical.com/production/products/general/10/98/109831-eyeglasses-front-view.jpg,"ft01,ft02,ft06,ft09","gt40,gt44,gt53,gt35,gt33,gt34,gt32,gt01,gt38",womens-acetate-round-eyeglass-frames-109831
34,109835,52,1098,,27.95,36.95,standardframetype,Acetate,FullRim,Round,Unisex,Pattern,Ivory Tortoiseshell,126,Med,,19,47,Round Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,72,52,63,140,22,40,1,1,https://static.zennioptical.com/production/products/general/10/98/109835-eyeglasses-front-view.jpg,"ft01,ft02,ft06,ft09","gt40,gt44,gt53,gt35,gt33,gt34,gt32,gt01,gt38",womens-acetate-round-eyeglass-frames-109835
35,110535,75,1105,,29.95,39.95,standardframetype,Acetate,FullRim,Oval,Women_s,Multicolor,,137,Large,,22,61,Oval Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,79,75,74,135,19,45,0,1,https://static.zennioptical.com/production/products/general/11/05/110535-eyeglasses-front-view.jpg,"ft01,6000023","gt35,gt36,gt32,gt40,gt34,gt33,gt49,gt38,gt44",110535-acetate-full-rim-frame
36,1110119,54,11101,,23.95,31.95,standardframetype,Plastic,FullRim,Cat-Eye,Girl_s,Pink,,120,,Large,22,50,Kids’ Cat-Eye Glasses,1,0,non-retired,configurable prescription frame,0,-5,0,-5,0,0,66,54,60,125,16,39,0,1,https://static.zennioptical.com/production/products/general/11/10/1110119-eyeglasses-front-view.jpg,,"gt35,gt40,gt44,gt41,gt33,gt49,gt08,gt10,gt07,gt06,gt04",girls-sunglasses-frames-1110119
46,1115417,41,11154,,19.95,26.95,standardframetype,Plastic,FullRim,Round,Girl_s,Purple,,112,,Small,15,44,Kids’ Round Glasses,1,0,non-retired,configurable prescription frame,8,-8,8,-8,6,-6,62,41,56,129,18,37,1,1,https://static.zennioptical.com/production/products/general/11/15/1115417-eyeglasses-front-view.jpg,ft01,"gt33,gt35,gt34,gt32,gt40,gt07,gt06,gt44,gt04,gt41",girls-plastic-round-eyeglass-frames-1115417
116,1125214,55,11252,,27.95,36.95,standardframetype,Stainless Steel,FullRim,Round,Unisex,Gold,,127,Med,,12,49,Sepulveda Round Glasses,0,1,non-retired,configurable prescription frame,4,-4,4,-4,6,-6,73,55,64,144,21,46,1,1,https://static.zennioptical.com/production/products/general/11/25/1125214-eyeglasses-front-view.jpg,"ft03,ft04,5900001","gt40,gt34,gt42,gt33,gt32,gt53,gt35,gt44,gt38",sepulveda-eyeglasses-1125214
117,1125216,55,11252,,27.95,36.95,standardframetype,Stainless Steel,FullRim,Round,Unisex,Blue,Blue,127,Med,,12,49,Sepulveda Round Glasses,0,0,non-retired,configurable prescription frame,4,-4,4,-4,6,-6,73,55,64,144,21,46,1,1,https://static.zennioptical.com/production/products/general/11/25/1125216-eyeglasses-front-view.jpg,"ft03,ft04,5900001","gt40,gt34,gt42,gt33,gt32,gt53,gt35,gt44,gt38",stainless-steel-round-eyeglass-frames-1125216
118,1125221,55,11252,,27.95,36.95,standardframetype,Stainless Steel,FullRim,Round,Unisex,Black,Black,127,Med,,12,49,Sepulveda Round Glasses,0,1,non-retired,configurable prescription frame,4,-4,4,-4,6,-6,73,55,64,144,21,46,1,1,https://static.zennioptical.com/production/products/general/11/25/1125221-eyeglasses-front-view.jpg,"ft03,ft04,5900001","gt40,gt34,gt42,gt33,gt32,gt53,gt35,gt44,gt38",sepulveda-eyeglasses-1125221
142,1128019,58,11280,,23.95,31.95,standardframetype,Stainless Steel,FullRim,Heart,Unisex,Pink,Pink,133,Large,,22,51,Heart-Shaped Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,76,58,67,145,22,47,1,1,https://static.zennioptical.com/production/products/general/11/28/1128019-eyeglasses-front-view.jpg,ft04,"gt45,gt44,gt40,gt49,gt42,gt11,gt04,gt12",metal-heart-shaped-glasses-1128019
143,1128021,58,11280,,23.95,31.95,standardframetype,Stainless Steel,FullRim,Heart,Unisex,Black,Black,133,Large,,22,51,Heart-Shaped Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,76,58,67,145,22,47,1,1,https://static.zennioptical.com/production/products/general/11/28/1128021-eyeglasses-front-view.jpg,ft04,"gt45,gt44,gt40,gt49,gt42,gt11,gt04,gt12",metal-heart-shaped-glasses-1128021
214,1135125,65,11351,,29.95,39.95,standardframetype,Mixed,FullRim,Browline,Unisex,Tortoiseshell,,130,Med,,15,54,Cahuenga Browline Eyeglasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,77,65,68,142,20,41,0,1,https://static.zennioptical.com/production/products/general/11/35/1135125-eyeglasses-front-view.jpg,"ft01,ft04","gt38,gt44,gt53,gt40",cahuenga-eyeglasses-1135125
243,114215,56,1142,,27.95,36.95,standardframetype,Acetate,FullRim,Aviator,Unisex,Brown,Forest,135,Large,,24,52,Aviator Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,72,56,63,146,17,45,1,1,https://static.zennioptical.com/production/products/general/11/42/114215-eyeglasses-front-view.jpg,"ft01,ft02,ft06,6000023","gt42,gt40,gt01,gt34,gt33,gt35,gt15,gt38,gt44,gt27",acetate-aviator-eyeglass-frames-114215
244,114233,56,1142,,27.95,36.95,standardframetype,Acetate,FullRim,Aviator,Unisex,Cream,Tawny,135,Large,,24,52,Aviator Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,72,56,63,146,17,45,1,1,https://static.zennioptical.com/production/products/general/11/42/114233-eyeglasses-front-view.jpg,"ft01,ft02,ft06,6000023","gt42,gt40,gt01,gt34,gt33,gt35,gt15,gt38,gt44,gt27",acetate-aviator-eyeglass-frames-114233
303,1150423,57,11504,,35.95,47.95,standardframetype,Mixed,FullRim,Aviator,Men_s,Clear,Clear,127,Med,,14,50,Hawkeyes,0,0,non-retired,configurable prescription frame,4,-24,4,-20,4,-4,74,57,65,138,21,45,1,1,https://static.zennioptical.com/production/products/general/11/50/1150423-eyeglasses-front-view.jpg,ft04,"gt35,gt46,gt34,gt38,gt44,gt33,gt43",mens-aviator-eyeglass-frames-1150423
304,1150425,57,11504,,35.95,47.95,standardframetype,Mixed,FullRim,Aviator,Men_s,Tortoiseshell,Tortoiseshell,127,Med,,14,50,Hawkeyes,0,1,non-retired,configurable prescription frame,4,-24,4,-20,4,-4,74,57,65,138,21,45,1,1,https://static.zennioptical.com/production/products/general/11/50/1150425-eyeglasses-front-view.jpg,ft04,"gt35,gt46,gt34,gt38,gt44,gt33,gt43",mens-aviator-eyeglass-frames-1150425
350,123415,64,1234,,12.95,16.95,standardframetype,Plastic,FullRim,Square,Unisex,Brown,,133,Large,,15,52,Square Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,78,64,69,148,23,43,1,1,https://static.zennioptical.com/production/products/general/12/34/123415-eyeglasses-front-view.jpg,"ft01,ft06,6000023","gt44,gt39,gt42",tr-square-eyeglass-frames-123415
,123429,64,1234,Yes,12.95,16.95,standardframetype,Plastic,FullRim,Square,Unisex,Pattern,,133,Large,,15,52,Square Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,78,64,69,148,23,43,1,1,https://static.zennioptical.com/production/products/general/12/34/123429-eyeglasses-front-view.jpg,"ft01,ft06,6000023","gt44,gt39,gt42",tr-square-eyeglass-frames-123429
352,123515,61,1235,,9.95,12.95,standardframetype,Plastic,FullRim,Rectangle,Women_s,Brown,,128,Med,,23,54,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,61,65,144,17,31,0,1,https://static.zennioptical.com/production/products/general/12/35/123515-eyeglasses-front-view.jpg,"ft06,ft01","gt31,gt49,gt39",womens-plastic-rectangle-eyeglass-frames-123515
353,123517,61,1235,,9.95,12.95,standardframetype,Plastic,FullRim,Rectangle,Women_s,Purple,,128,Med,,23,54,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,61,65,144,17,31,0,1,https://static.zennioptical.com/production/products/general/12/35/123517-eyeglasses-front-view.jpg,"ft06,ft01","gt31,gt49,gt39",womens-plastic-rectangle-eyeglass-frames-123517
354,123525,61,1235,,9.95,12.95,standardframetype,Plastic,FullRim,Rectangle,Women_s,Tortoiseshell,,128,Med,,23,54,Rectangle Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,74,61,65,144,17,31,0,1,https://static.zennioptical.com/production/products/general/12/35/123525-eyeglasses-front-view.jpg,"ft06,ft01","gt31,gt49,gt39",womens-plastic-rectangle-eyeglass-frames-123525
355,123825,69,1238,,15.95,20.95,standardframetype,Plastic,FullRim,Cat-Eye,Women_s,Tortoiseshell,,133,Large,,24,58,Cat-Eye Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,76,69,67,143,15,45,0,1,https://static.zennioptical.com/production/products/general/12/38/123825-eyeglasses-front-view.jpg,ft01,"gt44,gt40,gt33,gt35",womens-fullrim-acetate-plastic-cat-eye-eyeglass-frames-123825
356,123916,58,1239,,6.95,9.95,standardframetype,Plastic,FullRim,Square,Women_s,Green,Lagoon,126,Med,,21,50,Square Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,58,61,148,17,41,0,1,https://static.zennioptical.com/production/products/general/12/39/123916-eyeglasses-front-view.jpg,"ft01,ft06","gt49,gt33,gt12,gt04,gt39,gt44,gt31,gt53,gt35,gt11",womens-tr-square-eyeglass-frames-123916
357,123917,58,1239,,6.95,9.95,standardframetype,Plastic,FullRim,Square,Women_s,Purple,Hibiscus,126,Med,,21,50,Square Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,58,61,148,17,41,0,1,https://static.zennioptical.com/production/products/general/12/39/123917-eyeglasses-front-view.jpg,"ft01,ft06","gt49,gt33,gt12,gt04,gt39,gt44,gt31,gt53,gt35,gt11",womens-tr-square-eyeglass-frames-123917
358,123919,58,1239,,6.95,9.95,standardframetype,Plastic,FullRim,Square,Women_s,Pink,Papaya,126,Med,,21,50,Square Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,58,61,148,17,41,0,1,https://static.zennioptical.com/production/products/general/12/39/123919-eyeglasses-front-view.jpg,"ft01,ft06","gt49,gt33,gt12,gt04,gt39,gt44,gt31,gt53,gt35,gt11",womens-tr-square-eyeglass-frames-123919
359,123925,58,1239,,6.95,9.95,standardframetype,Plastic,FullRim,Square,Women_s,Tortoiseshell,Tortoiseshell,126,Med,,21,50,Square Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,58,61,148,17,41,0,1,https://static.zennioptical.com/production/products/general/12/39/123925-eyeglasses-front-view.jpg,"ft01,ft06","gt49,gt33,gt12,gt04,gt39,gt44,gt31,gt53,gt35,gt11",womens-tr-square-eyeglass-frames-123925
360,124012,42,1240,,6.95,9.95,standardframetype,Plastic,FullRim,Square,Unisex_Kids,Gray,Gray,118,,Med,13,44,Kid's Square Glasses,1,1,non-retired,configurable prescription frame,6,-6,6,-6,6,-6,60,42,54,133,16,38,1,1,https://static.zennioptical.com/production/products/general/12/40/124012-eyeglasses-front-view.jpg,"ft01,ft03","gt33,gt44,gt39,gt31,gt41,gt53,gt04,gt08",kids-tr-square-eyeglass-frames-124012
361,124018,42,1240,,6.95,9.95,standardframetype,Plastic,FullRim,Square,Unisex_Kids,Red,Red,118,,Med,13,44,Kid's Square Glasses,1,1,non-retired,configurable prescription frame,6,-6,6,-6,6,-6,60,42,54,133,16,38,1,1,https://static.zennioptical.com/production/products/general/12/40/124018-eyeglasses-front-view.jpg,"ft01,ft03","gt33,gt44,gt39,gt31,gt41,gt53,gt04,gt08",kids-tr-square-eyeglass-frames-124018
362,124030,42,1240,,6.95,9.95,standardframetype,Plastic,FullRim,Square,Unisex_Kids,White,,118,,Med,13,44,Kid's Square Glasses,1,1,non-retired,configurable prescription frame,6,-6,6,-6,6,-6,60,42,54,133,16,38,1,1,https://static.zennioptical.com/production/products/general/12/40/124030-eyeglasses-front-view.jpg,"ft01,ft03","gt33,gt44,gt39,gt31,gt41,gt53,gt04,gt08",kids-tr-square-eyeglass-frames-124030
